country_code,smr_key,weight_profile,scenario_family,n_pairs,mean_abs_rank_delta,max_abs_rank_delta,spearman_rho,top1_changed,top3_jaccard,top5_jaccard,small_n
AT,nuscale_voygr6,mc_50000,mc_summary,6,0.3333,1,0.9429,False,1.0,1.0,False
BA,nuscale_voygr6,mc_50000,mc_summary,5,0.4,1,0.9,True,1.0,1.0,False
BG,nuscale_voygr6,mc_50000,mc_summary,7,0.5714,2,0.8571,False,0.5,1.0,False
BY,nuscale_voygr6,mc_50000,mc_summary,2,0.0,0,1.0,False,1.0,1.0,True
CZ,nuscale_voygr6,mc_50000,mc_summary,29,1.5862,4,0.9685,True,0.5,0.6667,False
HR,nuscale_voygr6,mc_50000,mc_summary,1,0.0,0,,False,1.0,1.0,True
HU,nuscale_voygr6,mc_50000,mc_summary,11,0.3636,1,0.9818,False,1.0,1.0,False
LV,nuscale_voygr6,mc_50000,mc_summary,1,0.0,0,,False,1.0,1.0,True
MD,nuscale_voygr6,mc_50000,mc_summary,1,0.0,0,,False,1.0,1.0,True
ME,nuscale_voygr6,mc_50000,mc_summary,1,0.0,0,,False,1.0,1.0,True
MK,nuscale_voygr6,mc_50000,mc_summary,3,0.0,0,1.0,False,1.0,1.0,False
PL,nuscale_voygr6,mc_50000,mc_summary,61,3.3115,10,0.9739,False,0.2,0.1111,False
RO,nuscale_voygr6,mc_50000,mc_summary,22,1.9091,6,0.9198,False,0.5,1.0,False
RS,nuscale_voygr6,mc_50000,mc_summary,6,2.0,5,-0.1429,True,0.2,0.6667,False
SK,nuscale_voygr6,mc_50000,mc_summary,5,0.4,1,0.9,False,1.0,1.0,False
TR,nuscale_voygr6,mc_50000,mc_summary,110,5.7818,22,0.971,False,1.0,0.6667,False
UA,nuscale_voygr6,mc_50000,mc_summary,20,1.4,3,0.9579,True,1.0,0.6667,False
AT,nuscale_voygr6,w_EP_minus_20,weight,6,0.0,0,1.0,False,1.0,1.0,False
BA,nuscale_voygr6,w_EP_minus_20,weight,5,0.0,0,1.0,False,1.0,1.0,False
BG,nuscale_voygr6,w_EP_minus_20,weight,7,0.0,0,1.0,False,1.0,1.0,False
BY,nuscale_voygr6,w_EP_minus_20,weight,2,0.0,0,1.0,False,1.0,1.0,True
CZ,nuscale_voygr6,w_EP_minus_20,weight,29,0.069,1,0.9995,False,1.0,1.0,False
HR,nuscale_voygr6,w_EP_minus_20,weight,1,0.0,0,,False,1.0,1.0,True
HU,nuscale_voygr6,w_EP_minus_20,weight,11,0.0,0,1.0,False,1.0,1.0,False
LV,nuscale_voygr6,w_EP_minus_20,weight,1,0.0,0,,False,1.0,1.0,True
MD,nuscale_voygr6,w_EP_minus_20,weight,1,0.0,0,,False,1.0,1.0,True
ME,nuscale_voygr6,w_EP_minus_20,weight,1,0.0,0,,False,1.0,1.0,True
MK,nuscale_voygr6,w_EP_minus_20,weight,3,0.0,0,1.0,False,1.0,1.0,False
PL,nuscale_voygr6,w_EP_minus_20,weight,61,0.5574,3,0.9986,False,0.5,1.0,False
RO,nuscale_voygr6,w_EP_minus_20,weight,22,0.2727,2,0.9955,False,1.0,1.0,False
RS,nuscale_voygr6,w_EP_minus_20,weight,6,0.0,0,1.0,False,1.0,1.0,False
SK,nuscale_voygr6,w_EP_minus_20,weight,5,0.4,1,0.9,False,1.0,1.0,False
TR,nuscale_voygr6,w_EP_minus_20,weight,110,1.2364,7,0.9981,False,1.0,0.6667,False
UA,nuscale_voygr6,w_EP_minus_20,weight,20,0.2,2,0.9955,False,1.0,1.0,False
