national_rank,name,passed_exclusionary,passed_avoidance,composite_score,composite_score_low,composite_score_high,national_band,national_top10pct_hit_rate,criteria_coverage,avg_confidence,installed_capacity_mw,latitude,longitude
1,Konya Karapınar power station,True,True,7.784,6.528,8.301,A,1.0,70.59,low,1000.0,37.614187,33.591193
2,Eren-1 power station,True,True,7.459,6.604,7.9,A,1.0,76.47,low,490.0,41.632,27.03
3,Tufanbeyli power station,True,False,7.38,6.407,7.89,A,1.0,73.53,low,450.0,38.18562,36.26994
4,Karapinar Konya Şeker power station,True,False,7.354,6.386,7.864,A,1.0,73.53,low,2000.0,37.716,33.554
5,Çayırhan power station,True,True,7.347,6.513,7.806,B,1.0,76.47,low,1420.0,40.097,31.695
6,Teyo Tufanbeyli power station,True,True,7.328,6.366,7.838,B,0.9167,73.53,low,700.0,38.2299,36.2481
7,Tunçbilek power station,True,False,7.276,6.326,7.818,B,1.0,73.53,low,665.0,39.619778,29.465881
8,Uluköy power station,True,False,7.263,6.316,7.701,B,1.0,73.53,low,640.0,38.199984,30.27055
9,Sinop Akfen power station,True,True,7.26,6.27,7.724,B,1.0,73.53,low,1600.0,41.953,34.83
10,Çoban Yıldız power station,True,False,7.185,6.255,7.675,B,0.9167,73.53,low,37.0,37.557261,32.847995
11,Orta Anadolu power station,True,False,7.154,6.063,7.692,C,0.6667,70.59,low,135.0,40.623886,33.112751
12,Kütahya Domaniç power station,True,False,7.121,6.101,7.557,D,0.0,70.59,low,300.0,39.8,29.61
13,Gerze power station,True,False,7.116,6.326,7.587,D,0.1667,76.47,low,1200.0,41.86621,35.12424
14,Bolu Göynük power station,True,False,7.107,6.194,7.565,D,0.0833,73.53,low,270.0,40.2514,30.8129
15,Kangal Etyemez power station,True,False,7.072,6.29,7.55,D,0.0,76.47,low,135.0,39.07743,37.29562
16,Kangal power station,True,False,7.072,6.29,7.55,D,0.0833,76.47,low,457.0,39.077483,37.294973
17,Yeşilovacık power station,True,False,7.059,6.28,7.569,D,0.0833,76.47,low,1254.0,36.200611,33.663742
18,Seyitömer power station,True,False,7.022,6.25,7.562,D,0.0,76.47,low,600.0,39.572967,29.88164
19,Akdeniz Enerji power station,True,False,7.009,6.24,7.519,D,0.0,76.47,low,1600.0,36.201759,33.671397
20,Çankırı Yıldızlar power station,True,False,6.957,6.038,7.441,D,0.0,73.53,low,399.0,40.6078,33.3202
21,Alpu power station,True,False,6.947,6.189,7.437,D,0.0833,76.47,low,1080.0,39.897,30.862
